email,label
"Congratulations! You have won a free prize. Click the link to claim your reward.",1
"Urgent! Your bank account has been suspended. Verify your details immediately.",1
"Your password has expired. Login now using this link to reset it.",1
"You have received a payment. Click here to confirm your account.",1
"Security alert! Your account requires immediate verification.",1
"Meeting scheduled tomorrow at 10 AM. Please check the attached agenda.",0
"Hello team, the project report has been updated.",0
"Your electricity bill has been generated. Payment is due next week.",0
"Reminder: Doctor appointment scheduled for Monday.",0
"Happy birthday! Hope you have a wonderful day.",0